Term	Gene
Astrocytes	1500017E21RIK
Astrocytes	1600014C23RIK
Astrocytes	1700001J03RIK
Astrocytes	1700003M07RIK
Astrocytes	1700019G17RIK
Astrocytes	1700071M16RIK
Astrocytes	1700084C01RIK
Astrocytes	1700084J12RIK
Astrocytes	1700125H03RIK
Astrocytes	1810013D15RIK
Astrocytes	1810014B01RIK
Astrocytes	2410004I01RIK
Astrocytes	2610203C20RIK
Astrocytes	2810407A14RIK
Astrocytes	2900052N01RIK
Astrocytes	3110082J24RIK
Astrocytes	3110099E03RIK
Astrocytes	3930402G23RIK
Astrocytes	4930405H06RIK
Astrocytes	4930412C18RIK
Astrocytes	4930412L05RIK
Astrocytes	4930432E11RIK
Astrocytes	4932443I19RIK
Astrocytes	4933400C23RIK
Astrocytes	4933407L21RIK
Astrocytes	4933416E14RIK
Astrocytes	4933431E20RIK
Astrocytes	5031434O11RIK
Astrocytes	6720483E21RIK
Astrocytes	8030451A03RIK
Astrocytes	9130410C08RIK
Astrocytes	9330162012RIK
Astrocytes	9430041J12RIK
Astrocytes	9530003O04RIK
Astrocytes	9630013D21RIK
Astrocytes	9630013K17RIK
Astrocytes	9830144P21RIK
Astrocytes	A030012G06RIK
Astrocytes	A2M
Astrocytes	A330048O09RIK
Astrocytes	A330093E20RIK
Astrocytes	A430027H14RIK
Astrocytes	A830019P07RIK
Astrocytes	A830082K12RIK
Astrocytes	A930001A20RIK
Astrocytes	AASS
Astrocytes	ABAT
Astrocytes	ABCB9
Astrocytes	ABCC10
Astrocytes	ABCC12
Astrocytes	ABCD2
Astrocytes	ABHD1
Astrocytes	ABHD10
Astrocytes	ABHD11
Astrocytes	ABHD3
Astrocytes	ABR
Astrocytes	ACAA2
Astrocytes	ACKR4
Astrocytes	ACOT11
Astrocytes	ACSBG1
Astrocytes	ACSF2
Astrocytes	ACSL3
Astrocytes	ACSL6
Astrocytes	ACSS1
Astrocytes	ACSS2
Astrocytes	ADAM4
Astrocytes	ADAMTS6
Astrocytes	ADCY2
Astrocytes	ADCYAP1R1
Astrocytes	ADD3
Astrocytes	ADGRB3
Astrocytes	ADGRG1
Astrocytes	ADHFE1
Astrocytes	ADK
Astrocytes	ADORA2B
Astrocytes	AGL
Astrocytes	AGMO
Astrocytes	AGPAT5
Astrocytes	AGT
Astrocytes	AHCYL1
Astrocytes	AI182371
Astrocytes	AI480526
Astrocytes	AI849053
Astrocytes	AI854517
Astrocytes	AIFM2
Astrocytes	AIFM3
Astrocytes	AK4
Astrocytes	AK7
Astrocytes	AKR1B10
Astrocytes	AKT2
Astrocytes	ALCAM
Astrocytes	ALDH1L1
Astrocytes	ALDH5A1
Astrocytes	ALDH6A1
Astrocytes	ALDH7A1
Astrocytes	ALDOC
Astrocytes	ALMS1-PS1
Astrocytes	ALMS1-PS2
Astrocytes	ALPK1
Astrocytes	ALPL
Astrocytes	ALS2CL
Astrocytes	AMER1
Astrocytes	AMER2
Astrocytes	AMIGO2
Astrocytes	AMOT
Astrocytes	AMT
Astrocytes	ANGPTL1
Astrocytes	ANGPTL4
Astrocytes	ANK2
Astrocytes	ANKRD29
Astrocytes	ANTXR1
Astrocytes	AOX1
Astrocytes	APBA2
Astrocytes	APLN
Astrocytes	APOE
Astrocytes	APOH
Astrocytes	APPL2
Astrocytes	AQP4
Astrocytes	AQP9
Astrocytes	ARHGAP5
Astrocytes	ARHGEF19
Astrocytes	ARHGEF26
Astrocytes	ARHGEF4
Astrocytes	ARL6IP6
Astrocytes	ARX
Astrocytes	ARXES2
Astrocytes	ASAP2
Astrocytes	ASPG
Astrocytes	ASRGL1
Astrocytes	ASTN1
Astrocytes	ATL2
Astrocytes	ATP13A4
Astrocytes	ATP1A2
Astrocytes	ATP1B1
Astrocytes	ATP1B2
Astrocytes	ATXN7
Astrocytes	AVIL
Astrocytes	AW011738
Astrocytes	AW047730
Astrocytes	AXDND1
Astrocytes	AXL
Astrocytes	B230312C02RIK
Astrocytes	B3GALT1
Astrocytes	B930095G15RIK
Astrocytes	BAALC
Astrocytes	BBS2
Astrocytes	BC006965
Astrocytes	BC064078
Astrocytes	BC067074
Astrocytes	BCAN
Astrocytes	BCAR3
Astrocytes	BCL2
Astrocytes	BCL6
Astrocytes	BDH1
Astrocytes	BDH2
Astrocytes	BDKRB2
Astrocytes	BHLHE40
Astrocytes	BIRC7
Astrocytes	BMP1
Astrocytes	BMP7
Astrocytes	BMPR1A
Astrocytes	BMPR1B
Astrocytes	BTBD17
Astrocytes	C030005K06RIK
Astrocytes	C030037D09RIK
Astrocytes	C10ORF105
