Term	Gene
Cholinergic_neurons	Hoxa5
Cholinergic_neurons	Myc
Cholinergic_neurons	Dmkn
Cholinergic_neurons	Dsc3
Cholinergic_neurons	mt-Atp6
Cholinergic_neurons	Hoxa5
Cholinergic_neurons	Hspb7
Cholinergic_neurons	Dmkn
Cholinergic_neurons	Dsc3
Cholinergic_neurons	Hmx2
Cholinergic_neurons	Htr2b
Cholinergic_neurons	Tm4sf4
Cholinergic_neurons	mt-Nd3
Cholinergic_neurons	mt-Co3
Cholinergic_neurons	mt-Co2
Cholinergic_neurons	P2rx2
Cholinergic_neurons	Krt19
Cholinergic_neurons	Myl1
Cholinergic_neurons	Adgrg6
Cholinergic_neurons	Ano2
Cholinergic_neurons	Cckar
Cholinergic_neurons	Nxph2
Cholinergic_neurons	Gna14
Cholinergic_neurons	Pgam1
Cholinergic_neurons	Tbx3
Cholinergic_neurons	Ucn3
Cholinergic_neurons	Phox2a
Cholinergic_neurons	Myl1
Cholinergic_neurons	AW551984
Cholinergic_neurons	Etaa1os
Cholinergic_neurons	Slc5a7
Cholinergic_neurons	Slc17a8
Cholinergic_neurons	Chat
Cholinergic_neurons	Slc10a4
Cholinergic_neurons	Gm2990
Cholinergic_neurons	Gm5741
Cholinergic_neurons	Gng8
Cholinergic_neurons	Lrrc55
Cholinergic_neurons	Nwd2
Cholinergic_neurons	Ccdc155
Cholinergic_neurons	St8sia6
Cholinergic_neurons	Adgrg2
Cholinergic_neurons	Mdga1
Cholinergic_neurons	Lama1
Cholinergic_neurons	Spint1
Cholinergic_neurons	Gpx2
Cholinergic_neurons	Defa24
Cholinergic_neurons	AF529169
Cholinergic_neurons	Hoxb3
Cholinergic_neurons	Fam131c
Cholinergic_neurons	Evx1os
Cholinergic_neurons	Gm2694
Cholinergic_neurons	Drd5
Cholinergic_neurons	Bnc2
Cholinergic_neurons	Evx1
Cholinergic_neurons	Lhx8
Cholinergic_neurons	Cox6a2
Cholinergic_neurons	Slc18a3
Cholinergic_neurons	Ngfr
Cholinergic_neurons	Slc7a14
Cholinergic_neurons	Areg
Cholinergic_neurons	C1qtnf7
Cholinergic_neurons	Slc18a3
Cholinergic_neurons	Htr3b
Cholinergic_neurons	Fam89a
Cholinergic_neurons	Vip
Cholinergic_neurons	Cited1
Cholinergic_neurons	Slc18a3
Cholinergic_neurons	Dkk1
Cholinergic_neurons	Gm2990
Glutamatergic_neurons	Lypd1
Glutamatergic_neurons	Prss23
Glutamatergic_neurons	Kcng1
Glutamatergic_neurons	C1ql3
Glutamatergic_neurons	Myh7
Glutamatergic_neurons	Myl4
Glutamatergic_neurons	Cpne4
Glutamatergic_neurons	Olfm3
Glutamatergic_neurons	Gm11549
Glutamatergic_neurons	Plcxd2
Glutamatergic_neurons	Rprm
Glutamatergic_neurons	Rell1
Glutamatergic_neurons	3110035E14Rik
Glutamatergic_neurons	Tbr1
Glutamatergic_neurons	Garnl3
Glutamatergic_neurons	Cplx3
Glutamatergic_neurons	Nxph3
Glutamatergic_neurons	Hs3st4
Glutamatergic_neurons	Ipcef1
Glutamatergic_neurons	Mpped1
Glutamatergic_neurons	Sulf1
Glutamatergic_neurons	Prss12
Glutamatergic_neurons	1110032F04Rik
Glutamatergic_neurons	Cnih3
Glutamatergic_neurons	Ptpru
Glutamatergic_neurons	Igfbp6
Glutamatergic_neurons	C130074G19Rik
Glutamatergic_neurons	Rasl10a
Glutamatergic_neurons	Satb2
Glutamatergic_neurons	Ovol2
Glutamatergic_neurons	Nr4a2
Glutamatergic_neurons	Col24a1
Glutamatergic_neurons	Oprk1
Glutamatergic_neurons	B3gat2
Glutamatergic_neurons	Kcnv1
Glutamatergic_neurons	Hs3st2
Glutamatergic_neurons	Vipr1
Glutamatergic_neurons	Pde1a
Glutamatergic_neurons	Satb2
Glutamatergic_neurons	Slc17a7
Glutamatergic_neurons	Dkkl1
